timestamp,symbol,expiry_date,option_type,strike_price,open_interest,change_in_open_interest,p_change_in_open_interest,total_traded_volume,implied_volatility,last_price,change,p_change,total_buy_quantity,total_sell_quantity,bid_qty,bid_price,ask_qty,ask_price,underlying_value
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,12600.0,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,300.0,850.0,0.1,300.0,3.0,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,12700.0,236.5,0.0,0.0,3.0,92.54,1.0,-2.0,-66.66666666666666,6550.0,2100.0,250.0,0.25,1800.0,2.85,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,12800.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.0,5500.0,350.0,0.3,1800.0,2.8,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,12900.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9350.0,300.0,1800.0,0.2,300.0,3.0,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,13000.0,3897.0,-722.0,-15.631088980298767,939.0,132.82,4925.0,-248.14999999999964,-4.79688391019011,6950.0,10250.0,150.0,4911.25,100.0,4926.05,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,13000.0,7196.0,543.5,8.169860954528373,8765.0,83.42,0.65,0.050000000000000044,8.333333333333341,133400.0,42850.0,1900.0,0.6,3100.0,0.65,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,13100.0,34.0,3.0,9.67741935483871,8.0,84.38,0.95,-2.05,-68.33333333333333,3000.0,7750.0,500.0,0.6,1400.0,0.95,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,13500.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6850.0,8600.0,300.0,4380.65,500.0,4451.85,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,13500.0,416.0,-18.0,-4.147465437788019,81.0,73.74,0.6,-0.25,-29.411764705882355,25800.0,23100.0,3700.0,0.6,150.0,0.9,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,14000.0,3401.0,-452.0,-11.7311186088762,512.0,81.63,3921.9,-266.8499999999999,-6.370635631154877,6850.0,8800.0,100.0,3911.0,50.0,3925.1,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,14000.0,8484.5,645.0,8.227565533516168,5565.0,66.22,0.8,-0.04999999999999993,-5.882352941176463,145450.0,36250.0,4400.0,0.7,1550.0,0.8,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,14100.0,2261.0,1.0,0.04424778761061947,3.0,0.0,3716.85,-576.7500000000005,-13.43278367803243,6500.0,7000.0,1400.0,3557.2,150.0,3875.7,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,14100.0,2333.0,27.0,1.170858629661752,115.0,65.2,0.85,0.44999999999999996,112.49999999999997,17600.0,10700.0,300.0,0.8,100.0,0.95,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,14500.0,940.0,-15.0,-1.5706806282722514,22.0,85.94,3407.2,-249.80000000000018,-6.830735575608428,6550.0,8200.0,100.0,3414.8,450.0,3435.9,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,14500.0,3307.0,208.0,6.711842529848338,2756.0,58.15,0.9,-0.04999999999999993,-5.263157894736835,132400.0,36550.0,3600.0,0.8,2450.0,0.9,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15000.0,5162.0,-266.5,-4.9092751220410795,664.0,68.99,2923.15,-253.9000000000001,-7.991690404620641,12600.0,10600.0,100.0,2913.9,50.0,2923.05,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15000.0,29967.0,1530.5,5.382167285003429,14625.0,50.32,0.95,-0.30000000000000004,-24.000000000000004,260250.0,66000.0,11850.0,0.9,4100.0,0.95,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15300.0,102.0,0.0,0.0,1.0,89.68,2665.0,-635.0,-19.242424242424242,10050.0,7300.0,1500.0,2532.2,550.0,2662.55,17874.85
